id|url|date|renderedContent|hashtags|replyCount|retweetCount|likeCount
1583241157710344192|https://twitter.com/DravenAugust/status/1583241157710344192|2022-10-20 23:38:01+00:00|"@spacexmckitty I have a simple question for you then 

Have you read the book thief it’s a really good book set in nazi Germany that is in the prospective of death itself it’s a good book if you have yet to read it"||1|0|1
1583232740761038849|https://twitter.com/lvnaisa/status/1583232740761038849|2022-10-20 23:04:35+00:00|@angelitogoat these shallow graves is one of my favs, the book thief is my all time fav tho. both of these books aren’t short btw||0|0|0
1583221157683085312|https://twitter.com/CliffordKlaudia/status/1583221157683085312|2022-10-20 22:18:33+00:00|arytmistan: ““My heart is so tired”” —  Markus Zusak, The Book Thief (via 13neighbors) tmblr.co/ZUs2VecoBKzsKu…||0|0|0
1583210954749157376|https://twitter.com/booklybot/status/1583210954749157376|2022-10-20 21:38:00+00:00|If you're in a mansion, you should read The Book Thief!||0|0|0
1583205053225373697|https://twitter.com/leftmydaydream/status/1583205053225373697|2022-10-20 21:14:33+00:00|i need to read a romance now because my reread of the book thief messed me up big time||0|0|0
1583202633430761473|https://twitter.com/PatGal9/status/1583202633430761473|2022-10-20 21:04:56+00:00|"@CallMeQueenBee4 I’m totally out of touch with kids books these days, but I read The Book Thief by Markus Zusak and thought it was great. Written for ages 12 to adult. 
(Kids need a “Book Aunt”!!👍❤️😊)"||0|0|1
1583197365951148032|https://twitter.com/noeasycals/status/1583197365951148032|2022-10-20 20:44:01+00:00|@vampbmi the book thief, except i’m taking forever to finish it||2|0|5
1583192546037358592|https://twitter.com/milkylily_/status/1583192546037358592|2022-10-20 20:24:51+00:00|watership down and the book thief twitter.com/jayneiskool/st…||0|0|0
1583178449522372609|https://twitter.com/JennaSilverHair/status/1583178449522372609|2022-10-20 19:28:51+00:00|@goodreads The Book Thief. Had never read it before, but loved the movie, and I am all for movies based on books. Same for 13 Hours: The Inside Account of what Really Happened at Benghazi. This is one instance where the movie stuck with the book. Excellent!||0|0|30
1583162588107415552|https://twitter.com/susiesbookrevs/status/1583162588107415552|2022-10-20 18:25:49+00:00|@louisehector Love The Book Thief, it definitely fits the bill! Haven’t read the other one yet||0|0|2
1583162025005326336|https://twitter.com/louisehector/status/1583162025005326336|2022-10-20 18:23:35+00:00|@Susiebookreview The Book Thief. And I’ve just finished The Beekeeper of Aleppo so I think that will be joining my “everyone must read” list.||1|0|9
1583150202034491392|https://twitter.com/stevierosebudds/status/1583150202034491392|2022-10-20 17:36:36+00:00|"8. the picture of dorian gray which i'll be getting an uncensored copy of for xmas this year &amp; i can't wait.
other faves include the book thief &amp; i am the messenger by markus zusak (i loved him many yrs b4 my nz obsession i swear), one last stop, haunting of hill house"||1|0|0
1583130859732754432|https://twitter.com/kookiebunz/status/1583130859732754432|2022-10-20 16:19:44+00:00|i’m actually in the mood now to read but i can’t bc i know the ending of book thief will make me cry and im in a train packed FULL with people rn…||1|0|0
1583126792755257349|https://twitter.com/SOClALPARlAH/status/1583126792755257349|2022-10-20 16:03:35+00:00|ang the book thief, the secret history, ug to the lighthouse gilumot na gyud diria huhuhu i am sorry my babies||0|0|0
1583120028169252865|https://twitter.com/nemo_nista/status/1583120028169252865|2022-10-20 15:36:42+00:00|Do you struggle picking out what to read next? why don't you try: The book thief 📚. Check back in an hour for more recommendations.🔮||0|0|0
1583111003251712000|https://twitter.com/Michelleule/status/1583111003251712000|2022-10-20 15:00:50+00:00|@CarolynWeber I had the same problem with a more recent YA book: The Book Thief. Satan was, by far, the most interesting character. :-(||0|0|1
1583104612059426816|https://twitter.com/anothersunosaka/status/1583104612059426816|2022-10-20 14:35:26+00:00|@alessiabc02 I feel the same way! You’ll be crying by the end of the Book Thief, I know I was!||1|0|1
1583103942786883585|https://twitter.com/alessiabc02/status/1583103942786883585|2022-10-20 14:32:47+00:00|@anothersunosaka Romance books have to really catch me for me to read them. I might have to look into the Book Thief then||1|0|1
1583103804366430208|https://twitter.com/KelSnzzz/status/1583103804366430208|2022-10-20 14:32:14+00:00|I wanted to tell the book thief many things, about beauty and brutality. But what could I tell her about those things that she didn't already know? I wanted to explain that I am constantly overestimating and underestimating the human race-that rarely do I ever simply estimate it.||0|0|0
1583102975442288641|https://twitter.com/anothersunosaka/status/1583102975442288641|2022-10-20 14:28:56+00:00|@alessiabc02 I prefer fiction over non fiction too tbh! Romance is hard but I do like it once in awhile! It’s hard to find some food historical fiction! My favorite one though it’s very sad it’s called the Book Thief.||1|0|1
1583099405887864832|https://twitter.com/fandomonian_/status/1583099405887864832|2022-10-20 14:14:45+00:00|Do you struggle picking out what book to read next? Why don't you try: The book Thief. Check back in an hour for more recommendations.||0|0|0
1583091140009791488|https://twitter.com/dtqkluvyou/status/1583091140009791488|2022-10-20 13:41:54+00:00|i need book recommendations, my favs are historical fiction and fantasy 🫶🏼 things like the book thief and LOTR and harry potter were always my fav||6|0|5
1583090507139657728|https://twitter.com/rosaliereads/status/1583090507139657728|2022-10-20 13:39:23+00:00|@arkillecture the book thief is so good🥺||0|0|2
1583087758679375874|https://twitter.com/peakyisdead/status/1583087758679375874|2022-10-20 13:28:28+00:00|the silent patient or the book thief?||2|0|6
1583087375491551234|https://twitter.com/webbysetgo/status/1583087375491551234|2022-10-20 13:26:57+00:00|@goodreads The book thief!!||1|0|2
1583077701841489921|https://twitter.com/Devsfan55/status/1583077701841489921|2022-10-20 12:48:30+00:00|"TELL US ABOUT YOURSELF

1. Ingrid
2. Taken
3. Daylight by shinedown 
4. Over 11k
5. The Book Thief
6. S
7. Fantasy
8. Cats 
9. 2
10. 6
11. Rude people
12. 2005
13. Crowley
14. I love her lots and lots

DROP AN EMOJI
I'LL SEND YOU THE QUESTIONS"||4|0|2
1583071151625932800|https://twitter.com/b_fox_author/status/1583071151625932800|2022-10-20 12:22:29+00:00|@jodyjsperling Liesel Memminger from The Book Thief.||0|0|0
1583065745029705728|https://twitter.com/BookQuotesHurt/status/1583065745029705728|2022-10-20 12:01:00+00:00|He was the crazy one who had painted himself black and defeated the world. She was the book thief without the words.||0|0|0
1583030568110809088|https://twitter.com/bingbingliucdc1/status/1583030568110809088|2022-10-20 09:41:13+00:00|At this weekend, I plan to watch Classic War type of movie,then I will read a book named &lt;The Book Thief&gt; and I called my weekend plan Fantasy Watertown because this weekend plan also has  Marilyn Monson s songs. In the end, I will go to Venice in the evening.||0|0|0
1583005413858938880|https://twitter.com/bingbingliucdc1/status/1583005413858938880|2022-10-20 08:01:16+00:00|At this weekend, I plan to watch Crime Documentaries type of movie,then I will read a book named &lt;The Book Thief&gt; and I called my weekend plan Fantasy Muse because this weekend plan also has Muse s songs. In the end, I will go to Italy at night.||0|0|0
1582988591881682949|https://twitter.com/bulkrec0rds/status/1582988591881682949|2022-10-20 06:54:25+00:00|"A few books I HATE that everyone else seems to like ( a list cause I’m bored)

-Red White And Royal Blue
-The Book Thief
-Ugly Love
-Harry Potter Series
-The Unhoneymooners
-Heartstopper

That’s all I can think of for now, since I can’t sleep but am exhausted"||0|0|1
1582984148016599040|https://twitter.com/saturnliliess/status/1582984148016599040|2022-10-20 06:36:45+00:00|"The great gatsby 
A little life 
The book thief twitter.com/goodreads/stat…"||2|0|1
1582970172230447105|https://twitter.com/bingbingliucdc1/status/1582970172230447105|2022-10-20 05:41:13+00:00|At this weekend, I plan to watch Crime Dramas type of movie,then I will read a book named &lt;The Book Thief&gt; and I called my weekend plan Historical Bohemian because this weekend plan also has Queen s songs. In the end, I will go to The Cinque Terre at noon.||0|0|0
